alpha,mean_mmse,std_mmse
0.1,0.09589756868374648,0.006503295210972594
0.2,0.1989228739645032,0.010718068321874283
0.3,0.293736427864301,0.014838681252660421
0.4,0.37590978367620764,0.01486961319131934
0.5,0.4455255954731975,0.0120055058524341
0.6,0.5029752865358473,0.014255754185969456
0.7,0.5507808381875278,0.011908340402527482
0.8,0.58968582086397,0.011954026352252888
0.9,0.6231177244714707,0.010497935028336238
1.0,0.09589756868374648,0.006503295210972594
1.1,0.1989228739645032,0.010718068321874283
1.2,0.293736427864301,0.014838681252660421
1.3,0.37590978367620764,0.01486961319131934
1.4,0.4455255954731975,0.0120055058524341
1.5,0.5029752865358473,0.014255754185969456
1.6,0.5507808381875278,0.011908340402527482
1.7,0.58968582086397,0.011954026352252888
1.8,0.6231177244714707,0.010497935028336238
1.9,0.09589756868374648,0.006503295210972594
2.0,0.1989228739645032,0.010718068321874283
2.1,0.293736427864301,0.014838681252660421
2.2,0.37590978367620764,0.01486961319131934
2.3,0.4455255954731975,0.0120055058524341
2.4,0.5029752865358473,0.014255754185969456
2.5,0.5507808381875278,0.011908340402527482
2.6,0.58968582086397,0.011954026352252888
2.7,0.6231177244714707,0.010497935028336238
2.8,0.09589756868374648,0.006503295210972594
2.9,0.1989228739645032,0.010718068321874283
3.0,0.293736427864301,0.014838681252660421
3.1,0.37590978367620764,0.01486961319131934
3.2,0.4455255954731975,0.0120055058524341
3.3,0.5029752865358473,0.014255754185969456
3.4,0.5507808381875278,0.011908340402527482
3.5,0.58968582086397,0.011954026352252888
3.6,0.6231177244714707,0.010497935028336238
3.7,0.09589756868374648,0.006503295210972594
3.8,0.1989228739645032,0.010718068321874283
3.9,0.293736427864301,0.014838681252660421
4.0,0.37590978367620764,0.01486961319131934
