alpha,mean_mmse,std_mmse
0.1,0.04348890160590486,0.005564818964949728
0.2,0.037594150134988846,0.0032661132837466184
0.3,0.035933247559499226,0.003409569771878805
0.4,0.033108145459563976,0.0030385871442962214
0.6,0.0302904014097993,0.0020000748417940755
0.8,0.03168384240048802,0.0014247687924294433
1.0,0.03351257912270318,0.0011765114619774857
1.2,0.03494347159959422,0.0012990052003401897
1.4,0.03602103932696013,0.0006969918324395892
1.6,0.035917947431246586,0.0009782547168717937
1.8,0.03725001589687858,0.0008523958411190738
