alpha,qw,q2,mmse
0.0,0.0,0.0,0.09084505690810465
0.04,0.0,0.03271292195857813,0.0882418452917611
0.08,0.0,0.06415196972139213,0.08574000536298408
0.12,0.0,0.09434385552466298,0.0833374114295558
0.16,0.0,0.12331827396352821,0.08103170047067661
0.2,0.0,0.1511074919443594,0.07882030476752289
0.24,0.0,0.17774592927883323,0.07670048527851027
0.28,0.0,0.20326974084889554,0.07466936488954952
0.32,0.0,0.2277164099699216,0.07272396077317786
0.36,0.0,0.25112436101935137,0.07086121521459293
0.4,0.0,0.27353259770460664,0.06907802439737717
0.44,0.0,0.29498037163751734,0.06737126477750705
0.48,0.0,0.31550688425940937,0.0657378168034009
0.52,0.0,0.3351510236929911,0.06417458585658042
0.56,0.0,0.35395113683032225,0.06267852038833385
0.6,0.0,0.37194483592349287,0.06124662731074072
0.64,0.0,0.3891688381299328,0.05987598476525042
0.68,0.0,0.4056588358666763,0.058563752439561974
0.72,0.0,0.4214493954264816,0.05730717963549698
0.76,0.0,0.436573881076621,0.056103611309025914
0.8,0.0,0.45106440176911017,0.054950492310933394
0.84,0.0,0.4649517776099382,0.05384537005511201
0.88,0.0,0.4782655233372548,0.0527858958333265
0.92,0.0,0.4910338462202167,0.051769824982418125
0.96,0.0,0.5032836559911852,0.0507950160939256
1.0,0.030014577674480018,0.5152849494376494,0.04983997812279251
1.04,0.052492000771300826,0.5270430826395159,0.04890425060629597
1.08,0.07408993705991547,0.538532682433054,0.04798978754220221
1.12,0.09489398973561679,0.5497288262098361,0.04709848769456245
1.16,0.11498211815011586,0.5606163160094249,0.0462314642233796
1.2,0.13442541942839428,0.5711873690438922,0.04538923308446776
1.24,0.15328882442599,0.5814398230546505,0.04457185841764037
1.28,0.17163171060160756,0.5913757423763499,0.043779064677354824
1.32,0.18950843528453912,0.6010003357504837,0.04301032304192928
1.36,0.20696879306944355,0.6103211165754948,0.04226491792925763
1.4000000000000001,0.22405840090864884,0.6193472515579835,0.04154199813446972
1.44,0.24081901407751574,0.6280890555824649,0.04084061609851766
1.48,0.25728877570999986,0.636557599798708,0.04015975804633813
1.52,0.2735024021586897,0.6447644070326282,0.039498367144927
1.56,0.28949130616957425,0.6527212141320611,0.03885536138324446
1.6,0.30528365986371103,0.6604397851311339,0.038229647534926574
1.6400000000000001,0.3209043999716657,0.6679317624562096,0.03762013230510866
1.68,0.3363751787997302,0.6752085460390607,0.03702573156338927
1.72,0.35171426613459683,0.6822811923403186,0.036445378408683546
1.76,0.366936409928392,0.689160327089113,0.03587803068200908
1.8,0.38205266710731217,0.6958560671379392,0.03532267842661823
1.84,0.39707022025099376,0.7023779483333747,0.0347783516771389
1.8800000000000001,0.4119922008873687,0.7087348577853367,0.03424412882912045
1.92,0.42681754526334315,0.7149349704213892,0.03371914568811879
1.96,0.44154091283537966,0.7209856912191998,0.03320260511923799
2.0,0.4561527002567175,0.7268936059377672,0.032693787017378545
2.04,0.47063918299517676,0.7326644443614421,0.03219205810949315
2.08,0.48498281166402324,0.7383030608192735,0.03169688090854891
