alpha,mmse,q2,pot,MI
0.0001,0.09083849154819919,8.25027457898031e-05,0.82815381362932,6.462774657354055e-05
0.0200995,0.08948012415432197,0.017152250847712214,0.8299255213422561,0.012918633044196465
0.040099,0.08806355916263256,0.03495333153260782,0.8317566994884055,0.025626135858397087
0.0600985,0.08659525531217536,0.053404581891943526,0.8336459803714056,0.0381801643086008
0.080098,0.08508378175068423,0.07239831883944658,0.8355892243167741,0.050574409399987114
0.1000975,0.08353923000534626,0.09180772850441876,0.8375812261542055,0.0628034377760303
0.120097,0.08197251269992488,0.11149567881227407,0.8396159544123041,0.0748628473591969
0.14009649999999998,0.08039463359116021,0.13132389247766563,0.841686842233601,0.0867493510946809
0.160096,0.07881606063135316,0.15116082533240682,0.8437870834600906,0.09846078922072138
0.1800955,0.07724627766147014,0.17088729991606622,0.8459098966634058,0.10999608202622033
0.200095,0.07569352559926064,0.19039975780200136,0.8480487356134608,0.12135514067749263
0.2200945,0.07416470479330764,0.20961148665255003,0.850197440595952,0.1325387535714864
0.24009399999999997,0.072665394476393,0.22845237576083166,0.8523503347881264,0.1435484627560715
0.2600935,0.07119994622926809,0.2468677415503664,0.8545022756028665,0.15438644064561843
0.280093,0.06977161695376749,0.264816656585646,0.8566486710875935,0.16505537399010653
0.3000925,0.06838271658456416,0.28227009337147546,0.8587854722044207,0.17555835838430534
0.320092,0.06703475568074829,0.29920906966249206,0.8609091483305643,0.185898805371796
0.3400915,0.06572858272226693,0.3156229231452228,0.8630166532008202,0.1960803619298909
0.360091,0.06446450746777904,0.3315077612775581,0.8651053853287618,0.2061068421044805
0.3800905,0.06324240840583412,0.34686511101741857,0.8671731466013021,0.21598216953212881
0.40009,0.06206182449123537,0.3617007660296174,0.8692181009034872,0.22571032987503528
0.4200895,0.060922032246165964,0.3760238178045321,0.871238734522558,0.23529533169089384
0.440089,0.05982210975443268,0.3898458514827219,0.8732338188756928,0.2447411747602869
0.4600885,0.05876098922263179,0.4031802853518378,0.8752023761931796,0.2540518246396794
0.48008799999999996,0.057737499752183646,0.41604183335738343,0.8771436483858606,0.2632311923927832
0.5000875,0.05675040184425484,0.4284460715010754,0.8790570686457616,0.2722831190598851
