alpha,mmse,q2,pot,MI
0.0001,0.0908384926548282,8.24888394794776e-05,0.828153812687664,6.462774676187176e-05
0.0200995,0.08952276496700881,0.016616410592191766,0.8298876278817888,0.012920156323413787
0.040099,0.0882248946654472,0.03292592981098519,0.8316105880811534,0.02563785370103589
0.0600985,0.0869384357821558,0.04909204891855934,0.8333286667554155,0.03821830445330196
0.080098,0.08565865485093324,0.06517425040549174,0.8350454699112633,0.05066151668073232
0.1000975,0.08438235897373488,0.08121265741194517,0.8367638229795771,0.06296707780457504
0.120097,0.0831077816282183,0.09722946871237248,0.8384857961294542,0.07513430459778776
0.14009649999999998,0.08183442998675981,0.11323087736134241,0.8402127405841276,0.0871623840581518
0.160096,0.08056288880860635,0.12920953505743782,0.8419453424079629,0.09905049997168423
0.1800955,0.07929458925565563,0.14514745728984257,0.8436836943052217,0.110797940079817
0.200095,0.07803156556972557,0.16101908102195361,0.8454273818903977,0.12240418022392528
0.2200945,0.07677622185352981,0.1767941954080765,0.8471755776041726,0.1338689444199748
0.24009399999999997,0.07553112803646399,0.19244050576297278,0.8489271353516368,0.1451922420470806
0.2600935,0.07429885463020977,0.20792571008418204,0.8506806797536428,0.15637438512563856
0.280093,0.07308184963379002,0.22321904590871933,0.8524346862120712,0.16741598932158586
0.3000925,0.07188235448237643,0.23829234653150966,0.8541875489154476,0.17831796297349767
0.320092,0.07070235315724112,0.2531206805085948,0.8559376368161481,0.18908148749914103
0.3400915,0.06954354750999789,0.2676826617418655,0.8576833375031648,0.19970799260106925
0.360091,0.06840735171830933,0.2819605191506991,0.8594230905222556,0.21019912854281972
0.3800905,0.06729490081986869,0.29593998943078104,0.8611554115753082,0.22055673736192388
0.40009,0.06620706751461744,0.3096101059112115,0.8628789087915396,0.2307828246191735
0.4200895,0.06514448459712618,0.32296291666089383,0.8645922931646685,0.2408795321445241
0.440089,0.06410756831871768,0.3359931909114371,0.8662943839829365,0.25084911268532345
0.4600885,0.06309654681361072,0.34869806184369834,0.8679841105789513,0.2606939066377832
0.48008799999999996,0.0621114818524027,0.36107675322545774,0.8696605112487169,0.27041632107657726
0.5000875,0.061152293942268864,0.3731302639930121,0.8713227302439056,0.28001881097096143
0.520087,0.06021878374222432,0.3848610991390564,0.8729700132868534,0.2895038626593546
0.5400865,0.059310651774762746,0.39627302200892567,0.8746017023572025,0.29887397918704206
0.560086,0.058427516054147144,0.4073708327769605,0.8762172293512421,0.30813166815782334
0.5800855,0.05756892767059299,0.4181601726098856,0.8778161104766584,0.3172794302541821
0.600085,0.05673438443449297,0.4286473522084251,0.8793979391324211,0.32631975092077387
0.6200845,0.055923342722149154,0.4388392029494419,0.8809623805107847,0.3352550916209869
0.640084,0.055135227682767816,0.4487429486210581,0.8825091649945238,0.344087883931291
0.6600834999999999,0.05436944197195103,0.45836609567436226,0.8840380822810285,0.35282052426063637
0.680083,0.05362537317395314,0.46771633995258455,0.8855489762539601,0.3614553689632255
0.7000824999999999,0.0529024000673263,0.47680148795467203,0.8870417397614435,0.3699947308129222
0.720082,0.05219989787682645,0.48562939083789236,0.8885163092878002,0.3784408768841827
0.7400815,0.051517242642920465,0.494207889508987,0.8899726610478631,0.38679602560608445
0.760081,0.050853814826653736,0.5025447693240697,0.8914108064609038,0.39506234569678667
0.7800805,0.05020900225526218,0.5106477230729738,0.8928307886937684,0.403241954516083
0.80008,0.04958220250179817,0.5185243210759916,0.8942326786299751,0.4113369181661349
0.8200795,0.04897282478077713,0.5261819873624756,0.8956165720043361,0.4193492506479504
0.840079,0.04838029143165575,0.5336279810289022,0.8969825865588826,0.4272809136697456
0.8600785,0.04780403905264379,0.5408693819909727,0.8983308591001583,0.4351338173075281
0.880078,0.04724351933905913,0.5479130804485319,0.8996615433045394,0.4429098200552687
0.9000775,0.04669819967328197,0.5547657694719863,0.9009748074665556,0.45061072950439063
0.920077,0.046167563506426146,0.5614339402060795,0.9022708323449005,0.45823830338388444
0.9400765,0.045651110566810156,0.5679238792501693,0.903549809545448,0.4657942501077142
0.9600759999999999,0.04514835692480371,0.5742416678433411,0.904811939931704,0.47328022965760996
0.9800755,0.04465883493960009,0.5803931825332866,0.9060574321002622,0.4806978547199245
1.000075,0.04418209310963488,0.5863840970559973,0.9072865010059842,0.48804869188890077
1.0200745,0.0437176958451458,0.5922198851938616,0.908499366828113,0.4953342627083464
1.040074,0.043265223178569116,0.5979058244149316,0.909696254176445,0.5025560442780652
1.0600735,0.04282427042606546,0.6034470001263144,0.9108773905620834,0.5097154716099938
1.080073,0.04239444781137743,0.608848310400917,0.9120430060577582,0.5168139377817155
1.1000725,0.04197538006151766,0.6141144710581805,0.9131933323828204,0.5238527954372917
1.120072,0.041566705982063946,0.6192500210010778,0.9143286022984375,0.5308333578127955
1.1400715,0.041168078019030704,0.6242593277218007,0.9154490488480016,0.537756900259932
1.160071,0.04077916181215465,0.6291465929153359,0.9165549049355157,0.5446246611677981
1.1800705,0.04039963574487685,0.633915858134559,0.9176464028479604,0.5514378431180417
1.20007,0.04002919049418997,0.6385710104470195,0.9187237738852191,0.5581976138964944
1.2200695,0.03966752858437315,0.6431157880428746,0.9197872478891691,0.5649051078396693
1.240069,0.0393143639461605,0.6475537857745408,0.9208370531116501,0.5715614264538114
1.2600685,0.038969421480010646,0.651888460644811,0.9218734157062586,0.578167640013644
1.280068,0.038632436636278265,0.656123137082574,0.9228965596355061,0.5847247882196958
1.3000675,0.03830315499853555,0.6602610121789521,0.9239067063830838,0.5912338813846565
1.3200669999999999,0.03798133188150268,0.6643051607398553,0.9249040748841765,0.5976959011131102
1.3400665,0.03766673194034862,0.6682585401956529,0.9258888812599199,0.6041118015229122
1.360066,0.037359128792419954,0.672123995354668,0.9268613387808935,0.61048250990729
1.3800655,0.037058304651683444,0.6759042629969092,0.9278216576187526,0.6168089279904687
1.400065,0.036764049976014415,0.6796019763063743,0.9287700450052458,0.6230919321021692
1.4200645,0.03647616312741791,0.6832196691408379,0.9297067048996184,0.6293323747101944
1.440064,0.03619445004496536,0.6867597801418501,0.9306318380374189,0.6355310849343419
1.4600635,0.03591872393048653,0.6902246566844483,0.9315456419301513,0.6416888691921445
1.480063,0.035648804946671525,0.6936165586709189,0.932448310784324,0.647806512083288
1.5000625,0.03538451992737559,0.6969376621712147,0.9333400354893959,0.6538847770867564
1.520062,0.035125702099819786,0.7001900629138842,0.9342210036670746,0.6599244070743532
1.5400615,0.03487219081836202,0.7033757796316036,0.9350913995547838,0.6659261253231697
1.560061,0.034623831309489025,0.7064967572657019,0.9359514041139894,0.6718906358544348
1.5800605,0.03438047442766771,0.7095548700342234,0.9368011949401726,0.677818624373185
1.60006,0.03414197642168214,0.7125519243682237,0.9376409465097938,0.683710758151131
1.6200595,0.033908198711079585,0.7154896617210318,0.9384708298669515,0.6895676876657097
1.640059,0.03367900767234667,0.7183697612552395,0.9392910129224693,0.6953900463054971
1.6600584999999999,0.03345427443443791,0.721193842412166,0.9401016603460494,0.7011784513549112
1.680058,0.033233874683284356,0.7239634673684741,0.9409029336511341,0.706933504357276
1.7000575,0.03301768847491447,0.7266801433845631,0.9416949912609757,0.7126557915214121
1.720057,0.032805600056828275,0.7293453250492474,0.9424779895626817,0.7183458807136236
1.7400565,0.03259749769727364,0.7319604164251337,0.9432520777053333,0.7240043399680528
1.760056,0.03239327352208393,0.7345267730989793,0.9440174081374466,0.7296317018412042
1.7800555,0.03219282335874645,0.7370457041411869,0.9447741261743898,0.7352284998932289
1.800055,0.031996046587380894,0.7395184739784635,0.9455223752735089,0.7407952511234843
1.8200545,0.03180284599832065,0.741946304183507,0.9462622960769682,0.7463324598262941
1.840054,0.03161312765599843,0.74433037518547,0.9469940263986562,0.7518406182021596
1.8600535,0.03142680076885045,0.7466718279047913,0.9477177012793853,0.7573202067180497
1.880053,0.031243777564965006,0.7489717653158432,0.9484334531716079,0.7627716939674524
1.9000525,0.031063973173211523,0.7512312539407069,0.9491414117784497,0.7681955377997229
1.9200519999999999,0.0308873055095978,0.7534513252772499,0.9498417042674103,0.7735921850493035
1.9400515,0.030713695168614018,0.7556329771645374,0.9505344551720992,0.7789620724241096
1.960051,0.03054306531933234,0.7577771750884832,0.9512197866122792,0.7843056261697027
1.9800505,0.030375341606041488,0.7598848534305125,0.9518978182623841,0.7896232626767208
2.00005,0.030210452053205314,0.7619569166618878,0.9525686673590587,0.7949153889397701
2.0200495000000003,0.030048326974544015,0.7639942404862279,0.9532324488762852,0.8001824023374441
2.0400490000000002,0.02988889888604683,0.7659976729326223,0.9538892753131727,0.8054246919506842
2.0600485,0.02973210242273166,0.7679680354016616,0.9545392571525027,0.8106426371684892
2.080048,0.029577874258979224,0.7699061236665468,0.9551825023990144,0.8158366100119483
2.1000475,0.029426153032273528,0.7718127088313957,0.9558191174275279,0.82100697206764
2.120047,0.02927687927019173,0.7736885382487153,0.9564492057642043,0.8261540799811788
2.1400465000000004,0.02912999532049189,0.7755343363979443,0.9570728693733954,0.8312782805190976
2.1600460000000004,0.02898544528415553,0.7773508057268661,0.9576902080748759,0.8363799133988091
