alpha,mmse,qw,q2,pot,MI
0.0001,1.0000000000000002,0.0,0.0,-0.40546510810816444,5.877866649021192e-05
0.0200995,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.01181421807120014
0.040099,1.0000000000000002,0.0,0.0,-0.40546510810816433,0.02356965747591007
0.0600985,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.03532509688062
0.080098,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.04708053628532993
0.1000975,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.058835975690039864
0.120097,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.0705914150947498
0.14009649999999998,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.08234685449945972
0.160096,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.09410229390416965
0.1800955,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.10585773330887958
0.200095,1.0000000000000002,0.0,0.0,-0.40546510810816444,0.11761317271358954
0.2200945,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.12936861211829945
0.24009399999999997,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.14112405152300936
0.2600935,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.1528794909277193
0.280093,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.16463493033242924
0.3000925,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.17639036973713915
0.320092,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.18814580914184909
0.3400915,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.19990124854655902
0.360091,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.21165668795126896
0.3800905,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.22341212735597887
0.40009,1.0000000000000002,0.0,0.0,-0.40546510810816444,0.23516756676068887
0.4200895,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.24692300616539875
0.440089,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.25867844557010866
0.4600885,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.27043388497481863
0.48008799999999996,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.28218932437952854
0.5000875,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.29394476378423845
0.520087,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.30570020318894836
0.5400865,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.3174556425936583
0.560086,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.32921108199836824
0.5800855,1.0000000000000002,0.0,0.0,-0.4054651081081644,0.3409665214030782
