alpha,mmse,q2,pot,MI
1.240069,0.5219640155977592,0.6447026510689076,-0.34990897284139655,0.5911091395502549
1.2600685,0.5176153465029996,0.6490513201636672,-0.3488855440753116,0.5980632084001543
1.280068,0.5133664956922233,0.6533001709744435,-0.3478750982138578,0.6049686429971552
1.3000675,0.5092142901498555,0.6574523765168112,-0.3468774195025741,0.6118264402601392
1.3200669999999999,0.5051556773211747,0.661510989345492,-0.34589229457904713,0.6186375689034631
1.3400665,0.5011877203382418,0.665478946328425,-0.34491951272093513,0.6254029705800946
1.360066,0.4973075933881572,0.6693590732785095,-0.3439588659791194,0.6321235607718021
1.3800655,0.493512577232301,0.6731540894343657,-0.34301014927397605,0.6388002296095083
1.400065,0.4898000548789856,0.6768666117876811,-0.3420731604512297,0.6454338426035727
1.4200645,0.48616750741027204,0.6804991592563947,-0.3411477003856807,0.6520252415234454
1.440064,0.48261250996335336,0.6840541567033134,-0.34023357306001123,0.658575245230438
1.4600635,0.479132727863389,0.6875339388032777,-0.33933058561434903,0.6650846504440175
1.480063,0.47572591290786814,0.6909407537587986,-0.33843854831867737,0.6715542322916099
1.5000625,0.47238989979806467,0.6942767668686021,-0.33755727464348106,0.677984745146502
1.520062,0.46912260271487116,0.6975440639517956,-0.3366865799377276,0.6843769192488239
1.5400615,0.46592201203519124,0.7007446546314755,-0.3358262880201432,0.6907314813831787
1.560061,0.4627861911848652,0.7038804754818015,-0.334976217993964,0.6970491154329655
1.5800605,0.45971327362390446,0.7069533930427623,-0.3341361974385458,0.7033305031243889
1.60006,0.45670145995964395,0.7099652067070228,-0.33330605582665374,0.7095763046561768
1.6200595,0.4537490151833765,0.7129176514832902,-0.3324856256669122,0.7157871627799269
1.640059,0.45085426602594203,0.7158124006407247,-0.3316747426995389,0.7219637040492947
1.6600584999999999,0.4480155984278007,0.718651068238866,-0.33087324572741583,0.7281065389054306
1.680058,0.44523145511910767,0.7214352115475591,-0.33008097662452973,0.7342162623178599
1.7000575,0.44250033330539185,0.7241663333612749,-0.32929778030659085,0.7402934542987871
1.720057,0.4398207824545184,0.7268458842121484,-0.32852350464316254,0.7463386802091428
1.7400565,0.43719140218069064,0.7294752644859761,-0.32775800045568804,0.7523524913424716
1.760056,0.4346108402213864,0.7320558264452803,-0.32700112148272825,0.7583354253929269
1.7800555,0.43207779050322004,0.7345888761634467,-0.3262527243185354,0.7642880068199942
1.800055,0.42959099129284817,0.7370756753738186,-0.32551266837212944,0.7702107472722871
1.8200545,0.4271492234291725,0.7395174432374942,-0.32478081583090174,0.7761041460179996
1.840054,0.4247513086332326,0.7419153580334341,-0.3240570315723929,0.7819686901758989
1.8600535,0.4223961078922922,0.7442705587743745,-0.32334118317845467,0.7878048553060261
1.880053,0.4200825199147833,0.7465841467518834,-0.3226331408820704,0.7936131057505843
1.9000525,0.4178094796528873,0.7488571870137795,-0.32193277738577675,0.7993938944741347
1.9200519999999999,0.41557595688967175,0.751090709776995,-0.32123996802287,0.8051476641765443
1.9400515,0.41338095488782955,0.7532857117788372,-0.32055459054712254,0.8108748470032023
1.960051,0.41122350909719363,0.7554431575694731,-0.3198765252319886,0.816575865418001
1.9800505,0.40910268591832244,0.7575639807483443,-0.319205654541576,0.8222511314042731
2.00005,0.4070175815195729,0.7596490851470938,-0.3185418637271393,0.8279010492889446
2.0200495000000003,0.4049673207051896,0.7616993459614771,-0.3178850396942815,0.8335260117233334
