alpha,mmse,qw,q2,pot,MI
0.0001,1.1665839120608448,0.0,8.275460582218773e-05,-0.4411860290415127,6.592285067688158e-05
0.0200995,1.15019432196791,0.0,0.016472344698756965,-0.4394810820361889,0.013181626207132799
0.040099,1.1341230169356242,0.0,0.03254364973104274,-0.4377905801136876,0.026162095679809025
0.0600985,1.1183669228274837,0.0,0.04829974383918307,-0.43611462472819107,0.03900907682979735
0.080098,1.1029227631353673,0.0,0.06374390353129969,-0.43445330588724873,0.05172432961674813
0.1000975,1.0877870708250297,0.0,0.07887959584163731,-0.43280670225412177,0.06430962613008981
0.120097,1.0729562005583295,0.0,0.09371046610833758,-0.43117488128190107,0.0767667483524423
0.14009649999999998,1.0584263412003212,0.0,0.10824032546634564,-0.42955789937782807,0.08909748596368058
0.160096,1.0441935285212347,0.0,0.12247313814543223,-0.4279558020958452,0.10130363419347314
0.1800955,1.0302536580062334,0.0,0.13641300866043363,-0.42636862435529177,0.11338699172944863
0.200095,1.0166024976896264,0.0,0.1500641689770405,-0.4247963906835725,0.1253493586874421
0.2200945,1.0032357009347366,0.0,0.1634309657319305,-0.4232391154805645,0.13719253464954886
0.24009399999999997,0.990148819085803,0.0,0.17651784758086395,-0.4216968033024943,0.14891831677498427
0.2600935,0.9773373139239887,0.0,0.1893293527426783,-0.4201694491630151,0.1605284979880189
0.280093,0.9647965698656163,0.0,0.2018700968010506,-0.41865703884921757,0.17202486524653685
0.3000925,0.9525219058470906,0.0,0.2141447608195763,-0.4171595492503433,0.18340919789405782
0.320092,0.9405085868474159,0.0,0.22615807981925107,-0.4156769486970321,0.19468326609739278
0.3400915,0.9287518350057211,0.0,0.23791483166094587,-0.4142091973089871,0.2058488293714422
0.360091,0.9172468402976242,0.0,0.24941982636904286,-0.41275624734904326,0.2169076351920436
0.3800905,0.9059887707405473,0.0,0.2606778959261195,-0.41131804358170315,0.22786141769718907
0.40009,0.8949727821041426,0.0,0.2716938845625243,-0.4098945236343226,0.2387118964764101
0.4200895,0.8841940271077395,0.0,0.2824726395589273,-0.4084856183592353,0.24946077544763326
0.440089,0.8736476640921564,0.0,0.2930190025745104,-0.40709125219522,0.2601097418203651
0.4600885,0.8633288651582468,0.0,0.30333780150842005,-0.40571134352684857,0.27066046514367714
0.48008799999999996,0.8532328237691961,0.0,0.31343384289747084,-0.4043458050403624,0.28111459643709863
0.5000875,0.8433547618177907,0.0,0.3233119048488762,-0.40299454407486,0.2914737674022283
0.520087,0.8336899361636705,0.0,0.33297673050299637,-0.4016574629676978,0.30173958971260867
0.5400865,0.8242336446489166,0.0,0.3424330220177503,-0.400334459393125,0.3119136543791881
0.560086,0.8149812316032631,0.0,0.35168543506340383,-0.3990254266932981,0.32199753118851465
0.5800855,0.8059280928527264,0.0,0.3607385738139405,-0.3977302542009248,0.33199276821066215
0.600085,0.7970696802475746,0.0,0.36959698641909217,-0.39644882755290567,0.34190089137378327
0.6200845,0.7884015057272994,0.0,0.37826516093936746,-0.3951810289944346,0.3517234041021029
0.640084,0.7799191449416567,0.0,0.38674752172501015,-0.3939267376731262,0.361461787014126
0.6600834999999999,0.7716182404479156,0.0,0.3950484262187512,-0.3926858299228217,0.37111749767780855
0.680083,0.7634945045052358,0.0,0.4031721621614311,-0.3914581795368101,0.3806919704194432
0.7000824999999999,0.7555437214876054,0.0,0.4111229451790614,-0.39024365803028666,0.39018661618304606
0.720082,0.7477617499370451,0.0,0.4189049167296217,-0.38904213489192735,0.3996028224370589
0.7400815,0.7401445242788419,0.0,0.4265221423878249,-0.3878534778245398,0.408941953125257
0.760081,0.7326880562204511,0.0,0.4339786104462157,-0.3866775529747967,0.4182053486588171
0.7800805,0.725388435855414,0.0,0.44127823081125284,-0.3855142251521138,0.42739432594658266
