alpha,mean_mmse,std_mmse
1.3,0.10807863729037212,0.012032335250918385
1.4,0.07145966032643296,0.008296131636577239
1.5,0.05145775617646954,0.005669715794766983
1.7,0.02589546103274401,0.0031492061796247507
1.9,0.013811507483888395,0.0024045902046355085
2.1,0.007678585988044426,0.0016925765868076432
2.3,0.004598734552715707,0.0016690069135635276
