alpha,mean_mmse,std_mmse
0.2,0.999999333671822,1.463252546982344e-06
0.4,0.9999965296860258,7.460277878632556e-06
0.6,0.9999957459369466,9.196907771768966e-06
0.8,0.999989820823133,1.7308477579777775e-05
1.0,0.9999931270948755,1.3799096119585413e-05
1.3,0.10807863729037212,0.012032335250918385
1.4,0.07145966032643296,0.008296131636577239
1.5,0.05145775617646954,0.005669715794766983
1.7,0.02589546103274401,0.0031492061796247507
1.9,0.013811507483888395,0.0024045902046355085
2.1,0.007678585988044426,0.0016925765868076432
2.3,0.004598734552715707,0.0016690069135635276
2.5,0.002734109767922162,0.0007556248598467694
2.7,0.0018638138319946665,0.0008264728378724055
2.9,0.0010418250476443708,0.0005580140179707765
1.6,0.035674920558438274,0.0050552254132599905
1.8,0.019676747019581296,0.003912188629883901
