alpha,mean_mmse,std_mmse
0.2,0.9760038204444444,0.010856892380800039
0.4,0.8106030079999997,0.006979357761094332
0.6,0.6869900684444445,0.00998376741397695
0.8,0.5980319164444443,0.006388617791754945
1.0,0.5348913113772454,0.006873491297237293
1.5,0.13835821965057862,0.014063553586717889
1.6,0.09323244418681975,0.011001832471344189
1.7,0.06467276249871019,0.009995085477058465
1.8,0.04782601253810895,0.005625505030333069
1.9,0.03310236299011286,0.004268685389717437
2.0,0.02555724167644205,0.0029581433312749015
2.2,0.015468857736244308,0.0016642204826119457
2.4,0.009578381598693174,0.0018100394496755982
