alpha,mmse,qw,q2,pot,MI
0.0001,0.09005737593660859,0.0,8.373345981107521e-05,0.8302058722925962,6.42173348408853e-05
0.0200995,0.0887377521889261,0.0,0.01666661454469891,0.831951447477266,0.0128371928394952
0.040099,0.08744385270465517,0.0,0.03292623500177546,0.8336823360004286,0.025471703661405855
0.0600985,0.08617543805548293,0.0,0.04886560357595628,0.8353984226745653,0.03796952600108791
0.080098,0.08493225166147764,0.0,0.06448794454575542,0.837099604339835,0.050332452561812846
0.1000975,0.08371402075071847,0.0,0.0797966856642234,0.8387857897827292,0.06256229016041799
0.120097,0.08252045735492912,0.0,0.09479544564744555,0.8404568996193357,0.07466085736613916
0.14009649999999998,0.08135125933330088,0.0,0.10948802130880153,0.8421128661449762,0.08662998217688098
0.160096,0.08020611141679862,0.0,0.12387837443583004,0.8437536331522489,0.0984714997416898
0.1800955,0.07908468626544252,0.0,0.1379706185040348,0.845379155719641,0.11018725013749592
0.200095,0.0779866455313399,0.0,0.1517690053184313,0.8469893999729893,0.12177907620745294
0.2200945,0.07691164092059562,0.0,0.16527791166918882,0.8485843428221602,0.13324882146743405
0.24009399999999997,0.07585931524764299,0.0,0.17850182608251647,0.8501639716753625,0.14459832808646336
0.2600935,0.07482930347600228,0.0,0.19144533574210626,0.8517282841335441,0.15582943494607085
0.280093,0.07382123373997614,0.0,0.20411311365012993,0.8532772876673167,0.1669439757827777
0.3000925,0.07283472834232148,0.0,0.21650990609012405,0.8548109992788335,0.17794377741714887
0.320092,0.07186940472348463,0.0,0.22864052044722236,0.856329445151,0.18883065807210223
0.3400915,0.07092487639854057,0.0,0.24050981343422928,0.8578326602863269,0.19960642578244972
0.360091,0.07000075385852983,0.0,0.25212267976508723,0.8593206881376619,0.21027287689696117
0.3800905,0.06909664543342876,0.0,0.26348404131047176,0.8607935802329353,0.22083179467360026
0.40009,0.06821215811451506,0.0,0.27459883676364233,0.8622513957959417,0.23128494796799104
0.4200895,0.06734689833439306,0.0,0.2854720118383542,0.863694201365074,0.24163409001461553
0.440089,0.06650047270341934,0.0,0.2961085100146629,0.8651220704117858,0.2518809572997517
0.4600885,0.06567248870171266,0.0,0.30651326384286914,0.86653508296044,0.2620272685247021
0.48008799999999996,0.06486255532634318,0.0,0.3166911868107009,0.86793332521106,0.2720747236574705
0.5000875,0.0640702836936692,0.0,0.32664716577412567,0.8693168891663673,0.28202500307068834
0.520087,0.06329528759712753,0.0,0.33638605394795,0.8706858722643552,0.29187976676329064
0.5400865,0.06253718402108296,0.0,0.34591266444859703,0.8720403770175165,0.3016406536631867
0.560086,0.061795593611605686,0.0,0.3552317643781428,0.8733805106597081,0.31130928100795635
0.5800855,0.061070141105272056,0.0,0.3643480694358469,0.8747063848015159,0.3208872438004379
0.600085,0.06036045571727744,0.0,0.3732662390409827,0.8760181150948608,0.3303761143359326
0.6200845,0.059666171490308395,0.0,0.3819908719487794,0.8773158209074736,0.33977744179766556
0.640084,0.05898692760575161,0.0,0.390526502339657,0.8785996250077506,0.34909275191707856
0.6600834999999999,0.0583223686589159,0.0,0.39887759636068276,0.8798696532604118,0.35832354669549693
0.680083,0.05767214490001896,0.0,0.4070485490972435,0.8811260343332841,0.3674713041837038
0.7000824999999999,0.05703591244273984,0.0,0.4150436819522974,0.882368899415439,0.3765374783159857
0.720082,0.05641333344216749,0.0,0.4228672404102067,0.8835983819468407,0.38552349879524833
0.7400815,0.05580407624398543,0.0,0.4305233921620287,0.8848146173595894,0.39443077102585067
0.760081,0.05520781550672541,0.0,0.43801622556922903,0.8860177428307706,0.40326067609089716
0.7800805,0.054624232298902724,0.0,0.44534974844304553,0.8872078970468652,0.4120145707708072
