alpha,q2,mmse
0.0,0.0,1.166666666666667
0.04,0.03458257311820513,1.1320840935484617
0.08,0.07169800418779199,1.094968662478875
0.12,0.11045031398784297,1.056216352678824
0.16,0.14977512139317378,1.0168915452734932
0.2,0.18870063736117923,0.9779660293054877
0.24,0.2264787574874865,0.9401879091791805
0.28,0.2626088064306879,0.9040578602359789
0.32,0.2968061045451286,0.8698605621215382
0.36,0.32894648607672583,0.837720180589941
0.4,0.3590140861495511,0.8076525805171157
0.44,0.3870621453549742,0.7796045213116927
0.48,0.41318518074159805,0.7534814859250688
0.52,0.43749972370682305,0.7291669429598439
0.56,0.46013161140534287,0.706535055261324
0.6,0.4812079332521357,0.6854587334145311
0.64,0.5008521474930402,0.6658145191736267
0.68,0.5191812925362199,0.6474853741304469
0.72,0.536304559493438,0.6303621071732288
0.76,0.5523227334549325,0.6143439332117343
0.8,0.5673281698357551,0.5993384968309118
0.84,0.5814050911070875,0.5852615755595794
0.88,0.5946300615566011,0.5720366051100657
0.92,0.6070725494266901,0.5595941172399768
0.96,0.6187955191307505,0.5478711475359164
1.0,0.6298560184986998,0.5368106481679671
1.04,0.6403057405023175,0.5263609261643494
1.08,0.6501915483213894,0.5164751183452774
1.12,0.659555958616497,0.5071107080501698
1.16,0.6684375816311328,0.49822908503553404
1.2,0.6768715190215636,0.4897951476451032
1.24,0.6848897216218274,0.4817769450448394
1.28,0.6925213100356248,0.474145356631042
1.32,0.6997928612341976,0.4668738054324692
1.36,0.7067286643801669,0.4599380022864999
1.4000000000000001,0.7133509489907003,0.4533157176759665
1.44,0.7196800883640861,0.44698657830258065
1.48,0.725734780962815,0.44093188570385183
1.52,0.7315322120852646,0.43513445458140215
1.56,0.737088198128088,0.4295784685385788
1.6,0.7424173158626122,0.4242493508040546
1.6400000000000001,0.7475330178232422,0.4191336488434246
1.68,0.7524477354358856,0.4142189312307812
1.72,0.7571729713793963,0.4094936952872705
1.76,0.7617193828049954,0.4049472838616714
1.8,0.7660968555520955,0.4005698111145713
1.84,0.7703145712418322,0.39635209542483457
1.8800000000000001,0.7743810675696475,0.39228559909701927
1.92,0.778304292691834,0.3883623739748328
1.96,0.7820916543191413,0.3845750123475255
2.0,0.7857500640882189,0.3809166025784479
2.04,0.7892859776075272,0.37738068905913963
2.08,0.792705430933936,0.3739612357327308
2.12,0.7960140737303768,0.37065259293629
2.16,0.7992171992797463,0.36744946738692047
2.2,0.8023197717883069,0.36434689487835986
2.24,0.8053264512571795,0.3613402154094873
2.2800000000000002,0.8082416161658688,0.35842505050079804
2.32,0.8110693841844231,0.3555972824822437
2.36,0.8138136311093217,0.35285303555734504
2.4,0.8164780081943208,0.3501886584723459
2.44,0.819065958009553,0.3476007086571138
2.48,0.8215807289407531,0.34508593772591367
2.52,0.8240253886516972,0.3426412780149696
2.56,0.8264028364103728,0.3402638302562939
2.6,0.8287158144015327,0.337950852265134
2.64,0.8309669181468974,0.33569974851976936
2.68,0.8331586061158618,0.33350806055080495
2.72,0.8352932085976316,0.3313734580690352
2.7600000000000002,0.8373729358957838,0.329293730770883
2.8000000000000003,0.8393998859098601,0.3272667807568066
2.84,0.8413760511344693,0.3252906155321974
