alpha,q2,mmse
0.0,0.0,1.166666666666667
0.04,0.032564254782837594,1.1341024118838292
0.08,0.06460907211747965,1.1020575945491873
0.12,0.09638693808094562,1.0702797285857213
0.16,0.12810317486419776,1.0385634918024693
0.2,0.1596511697275649,1.007015496939102
0.24,0.19081795510813668,0.9758487115585303
0.28,0.2213610018266478,0.9453056648400191
0.32,0.2510481675860971,0.9156184990805697
0.36,0.2796976907919048,0.886968975874762
0.4,0.30718199677295177,0.8594846698937151
0.44,0.33342394801927305,0.8332427186473937
0.48,0.3583889677557679,0.808277698910899
0.52,0.38207541030005865,0.7845912563666082
0.56,0.4045058059187834,0.7621608607478835
0.6,0.4257194551413383,0.7409472115253285
0.64,0.44576663385000365,0.7209000328166631
0.68,0.4647041824691118,0.701962484197555
0.72,0.4825922573073236,0.6840744093593433
0.76,0.4994919995715095,0.6671746670951574
0.8,0.5154639052634764,0.6512027614031904
0.84,0.5305667254148106,0.6360999412518562
0.88,0.5448567587533893,0.6218099079132775
0.92,0.558387429599948,0.6082792370667188
0.96,0.5712090696882419,0.5954575969784249
1.0,0.5833688431844658,0.583297823482201
1.04,0.594910770069766,0.5717558965969008
1.08,0.6058758151140776,0.5607908515525892
1.12,0.6163020187212999,0.550364647945367
1.16,0.6262246526501691,0.5404420140164976
1.2,0.6356763885976875,0.5309902780689792
1.24,0.6446874712538081,0.5219791954128588
1.28,0.6532858901016461,0.5133807765650207
1.32,0.6614975461002587,0.5051691205664082
1.36,0.6693464111037508,0.497320255562916
1.4000000000000001,0.6768546784807237,0.4898119881859431
1.44,0.6840429040541769,0.4826237626124899
1.48,0.6909301372266725,0.4757365294399943
1.52,0.6975340423722598,0.469132624294407
1.56,0.7038710108019571,0.46279565586470967
1.6,0.7099562637441913,0.4567104029224755
1.6400000000000001,0.7158039468618168,0.45086271980485
1.68,0.721427216866613,0.44523944980005375
1.72,0.7268383208040003,0.43982834586266645
1.76,0.7320486685736857,0.43461799809298113
1.8,0.7370688992326219,0.42959776743404493
1.84,0.7419089415996264,0.4247577250670404
1.8800000000000001,0.7465780696475063,0.4200885970191605
1.92,0.751084953032389,0.4155817136342778
1.96,0.7554377033717372,0.4112289632949296
2.0,0.7596439167769985,0.4070227498896683
2.04,0.7637107126180758,0.402955954048591
2.08,0.7676447690016898,0.39902189766497703
2.12,0.7714523552747914,0.3952143113918754
2.16,0.7751393618213948,0.39152730484527204
2.2,0.7787113273966406,0.3879553392700262
