alpha,q2,mmse
1.84,0.7724542448560135,0.02937510121752875
1.8800000000000001,0.7764946942437396,0.029053572471344137
1.92,0.7803923997737019,0.02874340292043908
1.96,0.7841547619760981,0.028444003649332347
2.0,0.7877886844364276,0.0281548252881453
2.04,0.7913006141510782,0.02787535480120632
2.08,0.7946965780912021,0.02760511257739005
2.12,0.7979822163741176,0.027343649790421063
2.16,0.8011628123528027,0.02709054600442809
2.2,0.8042433198749475,0.026845407004737542
2.24,0.8072283884288094,0.02660786279682989
2.2800000000000002,0.8101223859612032,0.026377565790541777
2.32,0.8129294196386422,0.026154189147946864
2.36,0.8156533548241206,0.025937425273231448
2.4,0.8182978324402413,0.025726984430980704
2.44,0.8208662848769769,0.025522593480279264
2.48,0.8233619505809505,0.025323994713733103
2.52,0.825787887426502,0.025130944793433963
2.56,0.8281469849385131,0.02494321377829778
2.6,0.8304419757271361,0.024760584214117927
2.64,0.8326754459598577,0.024582850300224807
2.68,0.8348498449779381,0.02440981712423397
2.72,0.8369674941670876,0.024241299956140126
2.7600000000000002,0.8390305951553774,0.02407712359594808
2.8000000000000003,0.8410412373938384,0.023917121770427867
2.84,0.8430014051713813,0.023761136574885162
2.88,0.8449129840708619,0.023609017959403913
2.92,0.846777766990205,0.023460623249700517
2.96,0.8485974598030797,0.02331581669666162
3.0,0.8503736865562597,0.023174469062751286
3.04,0.8521079942986738,0.02303645723772741
3.08,0.8538018575719837,0.022901663881292868
3.12,0.8554566825934438,0.022769977090234105
3.16,0.8570738111544387,0.02264129008818539
3.2,0.8586545242380192,0.02251550093775445
3.24,0.8602000453872127,0.022392512272480847
3.2800000000000002,0.8617115439225683,0.022272231040791846
3.3200000000000003,0.8631901379123939,0.0221545682696385
3.36,0.864636896942809,0.022039438844061794
3.4,0.8660528447119493,0.02192676130075248
3.44,0.8674389614551669,0.021816457635059724
3.48,0.8687961862281391,0.021708453119307067
3.52,0.8701254190272315,0.021602676134059355
3.56,0.8714275227772581,0.021499058009941743
3.6,0.8727033252462143,0.02139753287527013
3.64,0.8739536208205795,0.02129803751477706
3.68,0.8751791721685538,0.02120051123725554
3.72,0.876380711805262,0.021104895751004063
3.7600000000000002,0.877558943566444,0.021011135046554066
3.8000000000000003,0.8787145439966826,0.02091917528619827
3.84,0.8798481636471356,0.020828964700720425
3.88,0.8809604283020148,0.020740453491795208
3.92,0.8820519401649717,0.020653593737578694
3.96,0.8831232789609493,0.02056833930502571
4.0,0.884175002974557,0.020484645767258662
4.04,0.8852076500315555,0.02040247032546335
4.08,0.8862217384270397,0.02032177173502664
4.12,0.8872177678030891,0.020242510235695132
4.16,0.8881962199686729,0.020164647486329318
4.2,0.889157559689523,0.020088146502047377
4.24,0.8901022354466686,0.020012971593862984
4.28,0.891030680143837,0.019939088312392075
4.32,0.8919433117778847,0.019866463394501717
4.36,0.8928405340749579,0.01979506471268598
4.4,0.8937227370944065,0.019724861227008058
4.44,0.8945902978003326,0.019655822939617845
4.48,0.8954435805970914,0.019587920852138126
4.5200000000000005,0.8962829378564148,0.019521126923717436
4.5600000000000005,0.8971087104146344,0.01945541403146229
4.6000000000000005,0.8979212280410435,0.019390755933166137
4.64,0.898720809883646,0.019327127231837778
4.68,0.8995077648935595,0.019264503341928443
4.72,0.9002823922291935,0.01920286045716832
