alpha,mean_mmse,std_mmse
0.1,0.9041024313162536,0.006503295210972594
0.2,0.8010771260354967,0.010718068321874283
0.3,0.706263572135699,0.014838681252660421
0.4,0.6240902163237924,0.01486961319131934
0.5,0.5544744045268025,0.0120055058524341
0.6,0.49702471346415267,0.014255754185969456
0.7,0.44921916181247223,0.011908340402527482
0.8,0.41031417913602997,0.011954026352252888
0.9,0.37688227552852926,0.010497935028336238
1.0,0.3480073637785449,0.009658658444249036
1.1,0.3231594286578364,0.009840459594795405
1.2,0.3003500524595293,0.009323791886356281
1.3,0.2828126264632054,0.008985180325679491
1.4,0.2654979432688719,0.007806305274579074
1.5,0.25072406700039196,0.00813084694717679
1.6,0.24257385569209633,0.005799519788545762
1.7,0.22501670190881573,0.007277004248205102
1.8,0.2087786376813826,0.012712301585155827
1.9,0.18518971510300053,0.017492665221479575
2.0,0.10287304902599892,0.020203107729849696
2.1,0.07965673479987767,0.01921804133162254
2.2,0.056670281785884624,0.012531893695698001
2.3,0.040291483695199415,0.00695466032949985
2.4,0.030275296251258577,0.008292370890438732
2.5,0.025292086853876516,0.006869355475303614
2.6,0.019835383448336352,0.005492590082152219
2.7,0.014658475560382578,0.003913692977622941
2.8,0.011822786196262314,0.0035358563939794758
2.9,0.009804973159256436,0.002850543495164958
3.0,0.007811659536399507,0.002629693040613736
3.1,0.006662690074825117,0.001765338865464261
3.2,0.0052172841361830535,0.002215214524285086
3.3,0.004325877265344502,0.0013135573201529143
3.4,0.003525442013156521,0.0012010462148513857
3.5,0.0027007260939759803,0.0013805841281741085
3.6,0.00250337967284886,0.0011674961756507477
3.7,0.002436264257066334,0.0017225312044557974
3.8,0.0018183337920549825,0.001085674077550031
3.9,0.001827590524559941,0.0011981761531249108
4.0,0.0009552232444540731,0.000726481508446039
